frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-2.28,-5.63,-2.32,-5.69,5.69,5.57,1.12,3.41,3.37,3.35
20.20,-2.19,-5.58,-2.21,-5.61,5.61,5.56,1.16,3.42,3.40,3.39
20.40,-2.09,-5.51,-2.10,-5.53,5.53,5.55,1.19,3.44,3.43,3.42
20.61,-2.00,-5.45,-1.99,-5.45,5.45,5.53,1.23,3.45,3.46,3.45
20.81,-1.90,-5.39,-1.89,-5.37,5.37,5.51,1.27,3.47,3.48,3.49
21.02,-1.81,-5.34,-1.78,-5.29,5.29,5.47,1.30,3.48,3.51,3.53
21.23,-1.71,-5.25,-1.68,-5.21,5.21,5.43,1.34,3.50,3.53,3.54
21.44,-1.62,-5.18,-1.59,-5.13,5.13,5.39,1.39,3.52,3.55,3.56
21.66,-1.52,-5.10,-1.49,-5.06,5.06,5.34,1.43,3.54,3.57,3.58
21.87,-1.43,-5.02,-1.40,-4.98,4.98,5.28,1.47,3.56,3.59,3.59
22.09,-1.33,-4.94,-1.31,-4.91,4.91,5.21,1.52,3.58,3.60,3.61
22.31,-1.22,-4.83,-1.22,-4.84,4.84,5.15,1.56,3.62,3.62,3.61
22.54,-1.12,-4.74,-1.14,-4.76,4.76,5.07,1.61,3.64,3.63,3.62
22.76,-1.02,-4.65,-1.05,-4.69,4.69,5.00,1.66,3.67,3.63,3.63
22.99,-0.91,-4.54,-0.98,-4.62,4.62,4.91,1.71,3.71,3.64,3.63
23.22,-0.86,-4.50,-0.90,-4.55,4.55,4.83,1.76,3.69,3.65,3.64
23.45,-0.80,-4.45,-0.83,-4.48,4.48,4.74,1.81,3.68,3.65,3.65
23.69,-0.75,-4.41,-0.75,-4.41,4.41,4.66,1.86,3.66,3.66,3.66
23.92,-0.70,-4.37,-0.68,-4.34,4.34,4.56,1.92,3.64,3.66,3.67
24.16,-0.64,-4.31,-0.60,-4.27,4.27,4.47,1.97,3.63,3.67,3.68
24.40,-0.57,-4.25,-0.53,-4.20,4.20,4.38,2.03,3.63,3.67,3.68
24.65,-0.51,-4.18,-0.47,-4.14,4.14,4.28,2.08,3.63,3.67,3.67
24.89,-0.45,-4.12,-0.41,-4.08,4.08,4.19,2.14,3.63,3.67,3.67
25.14,-0.36,-4.03,-0.34,-4.01,4.01,4.10,2.20,3.65,3.67,3.67
25.39,-0.25,-3.92,-0.26,-3.94,3.94,4.00,2.26,3.69,3.68,3.67
25.65,-0.15,-3.82,-0.18,-3.85,3.85,3.91,2.32,3.70,3.67,3.67
25.91,-0.04,-3.70,-0.09,-3.76,3.76,3.81,2.37,3.72,3.67,3.66
26.16,0.03,-3.64,-0.00,-3.67,3.67,3.72,2.43,3.70,3.67,3.67
26.43,0.07,-3.60,0.09,-3.58,3.58,3.62,2.49,3.65,3.67,3.67
26.69,0.12,-3.55,0.17,-3.49,3.49,3.53,2.55,3.61,3.66,3.67
26.96,0.16,-3.51,0.25,-3.41,3.41,3.44,2.60,3.57,3.66,3.67
27.23,0.28,-3.39,0.33,-3.33,3.33,3.35,2.66,3.61,3.66,3.67
27.50,0.42,-3.24,0.40,-3.26,3.26,3.26,2.71,3.68,3.66,3.66
27.77,0.56,-3.09,0.47,-3.19,3.19,3.18,2.76,3.75,3.66,3.65
28.05,0.67,-2.98,0.53,-3.12,3.12,3.09,2.81,3.79,3.65,3.65
28.33,0.67,-2.97,0.60,-3.06,3.06,3.01,2.86,3.73,3.65,3.64
28.62,0.68,-2.97,0.66,-2.99,2.99,2.93,2.90,3.67,3.65,3.65
28.90,0.68,-2.97,0.72,-2.93,2.93,2.85,2.95,3.61,3.65,3.65
29.19,0.72,-2.92,0.78,-2.86,2.86,2.77,2.99,3.59,3.64,3.64
29.48,0.79,-2.85,0.84,-2.80,2.80,2.69,3.02,3.59,3.64,3.64
29.78,0.86,-2.78,0.90,-2.73,2.73,2.62,3.05,3.59,3.64,3.64
